Variable,Importance
numerique__is_night,0.20050761
categoriel__category_gas_transport,0.17204802
numerique__log_amt,0.13133995
categoriel__category_grocery_net,0.051602792
categoriel__category_shopping_pos,0.04477669
categoriel__category_food_dining,0.04359622
categoriel__category_home,0.04282196
categoriel__category_shopping_net,0.041762043
categoriel__category_grocery_pos,0.040336832
categoriel__category_entertainment,0.039415434
categoriel__category_travel,0.035506416
categoriel__category_misc_net,0.032867353
categoriel__category_misc_pos,0.02389711
numerique__hour,0.020462923
categoriel__category_kids_pets,0.018400032
categoriel__category_personal_care,0.014648312
categoriel__gender_M,0.010684657
numerique__age,0.008198693
categoriel__category_health_fitness,0.0073644854
categoriel__gender_F,0.005193338
numerique__log_city_pop,0.004013001
numerique__day_of_week,0.0028076621
numerique__is_weekend,0.0027400588
numerique__month,0.0026744201
numerique__distance_km,0.0023340383
